OBJECTID_1,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Num_Counties,County_NUM_1,County_NUM_2,Month
19595,20214,2018,CA,CCO,SBC,WOODCHOPPER 1,15994,7/17/2018 0:00,7/17/2018 0:00,11,,23,19.2378597,1,1,,1,42,42,7
19599,20218,2018,CA,CCO,SBC,WASIOJA,6679,5/20/2018 0:00,5/22/2018 0:00,11,,190,189.5373688,1,1,,1,42,42,5
19640,20259,2017,CA,CCO,ORC,TOMATO SPRINGS,17140376,12/22/2017 0:00,12/22/2017 0:00,14,,,0.5389289,1,1,,1,30,30,12
19643,20262,2017,CA,CCO,ORC, ,17140202,12/22/2017 0:00,12/22/2017 0:00,14,,,0.0013569,1,1,,1,30,30,12
19499,20118,2017,CA,CCO,VNC,SCALES,113112,12/21/2017 0:00,12/21/2017 0:00,14,Walked perimter,2,1.25824,1,1,,1,56,56,12
19642,20261,2017,CA,CCO,ORC,WOOD,17139397,12/20/2017 0:00,12/20/2017 0:00,14,,,0.0094932,1,1,,1,30,30,12
19759,20378,2017,CA,CCO,LAC,RAMBLA,377553,12/18/2017 0:00,12/18/2017 0:00,2,,0.21,0.1799399,1,1,,1,19,19,12
19604,20223,2017,CA,CCO,SBC,DRUM,16443,12/16/2017 0:00,12/16/2017 0:00,9,Flair Stack,13,13.5386934,1,1,,1,42,42,12
19603,20222,2017,CA,CCO,SBC,HWY_1,16354,12/14/2017 0:00,12/14/2017 0:00,11,,14,13.0456543,1,1,,1,42,42,12
19597,20216,2017,CA,CCO,SBC,WOODCHOPPER 2,16036,12/8/2017 0:00,12/8/2017 0:00,11,,24,25.1316757,1,1,,1,42,42,12
19671,20290,2017,CA,CDF,MVU,LILAC,24612,12/7/2017 0:00,12/24/2017 0:00,14, ,4100,4080.6147461,1,1,,1,37,37,12
19842,20461,2017,CA,LRA,LDF,SKIRBALL,30179,12/6/2017 0:00,12/7/2017 0:00,4,"FIMT most info from LAFD website, homelss cook fire",422,371.3076172,8,1,,1,19,19,12
19501,20120,2017,CA,CCO,VNC,RUNNER,104509,12/5/2017 0:00,12/5/2017 0:00,9,Unintentional,3,2.4255037,6,1,,1,56,56,12
19602,20221,2017,CA,CCO,SBC,CAT,15884,12/5/2017 0:00,12/5/2017 0:00,11,,15,15.8833227,1,1,,1,42,42,12
19760,20379,2017,CA,CCO,LAC,CREEK,362189,12/5/2017 0:00,12/5/2017 0:00,14,,15619,15619.1464844,7,1,,1,19,19,12
19761,20380,2017,CA,CCO,LAC,RYE,362441,12/5/2017 0:00,12/13/2017 0:00,14,,6049,6047.71875,7,1,,2,19,56,12
19930,20549,2017,CA,USF,VNC,THOMAS,3583,12/4/2017 0:00,1/12/2018 0:00,9,CONT_DATE based on Inciweb,281893,281790.875,7,1,,2,42,56,12
19794,20413,2017,CA,CCO,KRN,BRECKENRIDGE,1747990,12/1/2017 0:00,12/1/2017 0:00,14, ,,22.3543777,1,1,,1,15,15,12
20033,20652,2017,CA,CDF,BDU,OAK,17005,11/29/2017 0:00,12/7/2017 0:00,10,,325.5135373924,325.5135498,2,1,,1,36,36,11
20029,20648,2017,CA,CDF,BEU,BITTERWATER,6153,11/25/2017 0:00,11/25/2017 0:00,10,,48,48.3297424,1,1,,1,35,35,11
19496,20115,2017,CA,CCO,VNC,SCHOOL,100005,11/23/2017 0:00,11/23/2017 0:00,9,Animal caused electrical arcing,5,4.6660614,1,1,,1,56,56,11
19789,20408,2017,CA,CCO,KRN,HILLS,1745915,11/16/2017 0:00,11/16/2017 0:00,14, ,,3.9798951,1,1,,1,15,15,11
19582,20201,2017,CA,CDF,SKU,MODOC,8473,11/15/2017 0:00,11/15/2017 0:00,7,,0.2,0.2216782,1,1,,1,47,47,11
19758,20377,2017,CA,CCO,LAC,SKYLINE,339735,11/13/2017 0:00,11/13/2017 0:00,2,,,0.0701632,1,1,,1,19,19,11
19757,20376,2017,CA,CCO,LAC,HACIENDA,338819,11/12/2017 0:00,11/12/2017 0:00,14,,1,0.247208,1,1,,1,19,19,11
19639,20258,2017,CA,CCO,ORC, ,17123139,11/10/2017 0:00,11/10/2017 0:00,14,,,0.0029606,1,1,,1,30,30,11
